iter	RMSE
0	15269.51733
1	14414.72027
2	13714.74187
3	13232.20146
4	12783.32305
5	12179.60296
6	11681.66602
7	11185.58693
8	10810.63935
9	10421.21306
10	10011.91935
11	9652.950032
12	9395.394639
13	9207.943439
14	9022.260445
15	8759.622776
16	8558.535435
17	8407.431656
18	8219.770977
19	8082.836383
20	7955.484628
21	7890.048265
22	7811.09752
23	7731.556487
24	7670.274593
25	7558.930276
26	7513.841852
27	7413.087701
28	7357.371831
29	7306.262421
30	7224.012799
31	7169.45394
32	7130.597089
33	7092.495676
34	7027.984635
35	7000.97707
36	6933.214746
37	6899.132977
38	6859.719104
39	6754.440573
40	6719.534197
41	6686.323637
42	6623.791107
43	6567.988073
44	6528.654059
45	6511.806785
46	6474.357827
47	6465.45863
48	6454.103912
49	6368.81686
50	6355.665704
51	6329.835222
52	6310.28774
53	6278.761658
54	6270.164261
55	6254.062243
56	6236.897243
57	6199.850678
58	6189.349494
59	6174.518331
60	6163.664306
61	6136.180485
62	6122.327174
63	6097.235226
64	6089.12952
65	6051.946419
66	6019.152618
67	5997.059504
68	5975.487975
69	5968.654493
70	5955.310023
71	5945.110111
72	5935.822195
73	5926.666943
74	5920.241945
75	5915.674459
76	5883.562904
77	5862.335558
78	5838.53416
79	5832.852376
80	5825.693888
81	5818.747834
82	5810.858111
83	5781.815756
84	5776.422457
85	5772.136643
86	5766.869816
87	5753.654316
88	5749.54854
89	5718.073648
90	5700.591001
91	5666.48826
92	5662.45433
93	5659.7169
94	5605.868528
95	5600.861153
96	5577.988785
97	5546.164993
98	5500.763336
99	5497.718826
100	5494.7136
101	5460.267131
102	5457.850272
103	5455.324978
104	5434.712562
105	5409.873596
106	5400.198854
107	5372.00898
108	5350.071697
109	5334.349209
110	5332.260239
111	5314.207961
112	5283.498509
113	5253.164042
114	5230.956405
115	5229.012112
116	5227.015942
117	5205.025789
118	5203.496168
119	5202.009376
120	5187.179546
121	5185.553228
122	5184.160307
123	5165.080993
124	5163.850629
125	5162.609702
126	5141.22601
127	5140.017928
128	5099.285628
129	5090.673452
130	5065.306386
131	5064.224681
132	5062.884377
133	5044.833656
134	5043.846455
135	5019.488354
136	5005.24681
137	5004.040835
138	4991.821973
139	4976.311826
140	4944.658527
141	4934.657723
142	4913.684303
143	4905.889575
144	4904.737684
145	4869.366561
146	4858.921823
147	4857.915086
148	4843.187414
149	4842.063013
150	4825.058619
151	4798.584932
152	4797.689867
153	4791.117236
154	4774.14133
155	4772.945399
156	4767.459522
157	4761.750445
158	4760.795472
159	4751.511371
160	4743.638799
161	4742.57708
162	4741.755048
163	4740.875401
164	4728.300439
165	4727.500809
166	4726.663214
167	4723.566948
168	4707.385055
169	4693.825224
170	4693.188155
171	4685.077005
172	4684.307434
173	4683.615636
174	4682.869148
175	4675.891565
176	4675.052054
177	4666.202307
178	4638.850289
179	4616.462711
180	4615.718064
181	4603.617632
182	4602.523809
183	4594.808295
184	4584.895162
185	4573.71846
186	4573.016423
187	4572.518926
188	4571.805015
189	4558.478484
190	4544.92173
191	4544.398095
192	4538.378504
193	4525.651687
194	4519.862539
195	4515.742145
196	4515.022466
197	4510.627957
198	4504.709261
199	4499.387911
200	4485.78839
201	4485.297682
202	4476.950659
203	4455.179188
204	4446.966745
205	4435.41301
206	4431.972778
207	4427.16352
208	4426.560947
209	4417.098549
210	4413.613421
211	4407.405858
212	4392.955876
213	4392.360737
214	4383.401051
215	4382.730476
216	4376.260592
217	4375.76605
218	4375.320843
219	4374.783894
220	4372.133405
221	4371.751305
222	4361.581491
223	4361.190318
224	4355.925639
225	4352.853973
226	4345.134027
227	4336.20407
228	4335.730711
229	4327.594665
230	4327.262273
231	4324.303641
232	4308.298514
233	4300.398137
234	4300.066588
235	4293.971814
236	4289.412403
237	4281.737344
238	4276.9091
239	4276.58565
240	4268.068783
241	4255.972305
242	4250.192432
243	4246.972616
244	4246.536226
245	4236.696417
246	4229.714606
247	4229.420016
248	4224.149138
249	4214.16722
250	4207.725455
251	4207.455669
252	4204.457627
253	4199.412088
254	4199.099394
255	4196.053208
256	4191.985854
257	4191.653422
258	4188.226436
259	4185.27966
260	4182.758734
261	4179.53912
262	4172.190934
263	4167.234301
264	4158.331007
265	4149.649306
266	4144.523492
267	4144.242986
268	4143.972199
269	4133.601014
270	4130.961443
271	4125.529274
272	4125.206904
273	4124.85889
274	4124.599469
275	4122.044
276	4111.191401
277	4101.678127
278	4096.748105
279	4093.347454
280	4093.010801
281	4091.637989
282	4088.382399
283	4084.976033
284	4084.737962
285	4084.094035
286	4080.207019
287	4079.930079
288	4069.739362
289	4069.563055
290	4067.605199
291	4059.990852
292	4059.757918
293	4052.645489
294	4049.86287
295	4049.661577
296	4049.465495
297	4045.117635
298	4037.008407
299	4032.840654
300	4026.78325
301	4022.351258
302	4022.124159
303	4012.997176
304	4005.597999
305	4005.4057
306	4000.27748
307	3987.672955
308	3985.8857
309	3981.850852
310	3980.935398
311	3975.726217
312	3971.393469
313	3966.203267
314	3961.054812
315	3955.806478
316	3955.600575
317	3951.662631
318	3949.766947
319	3949.546294
320	3942.863378
321	3941.113686
322	3939.210005
323	3935.039971
324	3925.818114
325	3923.798257
326	3923.619583
327	3919.89234
328	3912.380214
329	3905.350904
330	3900.284594
331	3898.379687
332	3897.448274
333	3897.28915
334	3897.113638
335	3896.148587
336	3895.984062
337	3891.035342
338	3890.881912
339	3890.748206
340	3890.610444
341	3883.891615
342	3881.753643
343	3880.423274
344	3874.967236
345	3874.835587
346	3868.115158
347	3867.982871
348	3864.699056
349	3861.941703
350	3861.744674
351	3855.552729
352	3851.270351
353	3848.842551
354	3845.938257
355	3840.895192
