iter	Passed	Remaining
0	56	28223
1	56	14191
2	57	9525
3	57	7180
4	58	5768
5	58	4820
6	58	4144
7	59	3635
8	59	3240
9	59	2927
10	60	2670
11	60	2454
12	60	2270
13	60	2111
14	61	1975
15	61	1860
16	61	1758
17	62	1665
18	62	1580
19	62	1505
20	63	1437
21	63	1374
22	63	1316
23	63	1264
24	63	1215
25	64	1172
26	64	1134
27	65	1097
28	65	1061
29	65	1027
30	65	996
31	66	965
32	66	938
33	66	913
34	66	888
35	67	865
36	67	844
37	67	823
38	68	803
39	68	785
40	68	767
41	68	750
42	69	734
43	69	718
44	69	704
45	69	690
46	70	676
47	70	663
48	70	651
49	71	645
50	71	633
51	72	622
52	72	611
53	72	600
54	73	590
55	73	580
56	73	572
57	73	563
58	74	554
59	74	546
60	74	537
61	74	529
62	75	521
63	75	514
64	75	506
65	75	499
66	76	492
67	76	486
68	76	479
69	77	473
70	77	467
71	77	461
72	77	455
73	78	449
74	78	444
75	78	438
76	79	435
77	79	430
78	79	425
79	80	420
80	80	415
81	80	410
82	80	406
83	81	401
84	81	397
85	81	393
86	81	388
87	82	384
88	82	380
89	82	376
90	82	372
91	83	369
92	83	366
93	84	362
94	84	359
95	84	355
96	84	352
97	85	349
98	85	346
99	85	343
100	86	339
101	86	336
102	86	333
103	86	330
104	87	328
105	87	325
106	87	322
107	88	319
108	88	316
109	88	314
110	88	311
111	88	308
112	89	305
113	89	302
114	89	300
115	90	298
116	90	295
117	90	293
118	90	290
119	91	288
120	91	285
121	91	283
122	91	281
123	92	279
124	92	277
125	92	275
126	92	272
127	93	270
128	93	269
129	93	267
130	94	265
131	94	263
132	94	260
133	94	259
134	95	257
135	95	255
136	95	253
137	95	251
138	96	250
139	96	249
140	97	247
141	97	245
142	97	244
143	98	242
144	98	240
145	98	239
146	98	237
147	99	235
148	99	234
149	99	232
150	100	231
151	100	229
152	100	228
153	100	226
154	101	224
155	101	223
156	101	222
157	101	220
158	102	220
159	103	219
160	103	217
161	103	216
162	104	215
163	104	213
164	104	212
165	105	211
166	105	209
167	105	208
168	105	207
169	106	206
170	106	205
171	106	203
172	107	202
173	107	201
174	107	200
175	108	198
176	108	197
177	108	196
178	108	195
179	109	193
180	109	192
181	109	191
182	109	190
183	110	189
184	110	187
185	110	186
186	110	185
187	111	184
188	111	183
189	111	182
190	111	181
191	112	179
192	112	178
193	113	179
194	113	177
195	114	176
196	114	175
197	115	175
198	115	174
199	116	174
200	116	173
201	116	172
202	117	171
203	117	170
204	117	169
205	118	168
206	118	167
207	118	166
208	118	165
209	119	164
210	119	163
211	119	162
212	119	161
213	120	160
214	120	159
215	120	158
216	120	157
217	121	156
218	121	155
219	121	154
220	122	154
221	122	153
222	122	152
223	122	151
224	123	150
225	123	149
226	123	148
227	124	147
228	124	147
229	124	146
230	124	145
231	125	144
232	125	143
233	125	142
234	125	141
235	126	141
236	126	140
237	126	139
238	127	138
